BY02DX016,启动控制反馈:PL1-11
BY02DX017,负载运行状态:PL1-11
BY02DX018,可控硅故障:PL1-11
BY02DX019,上电备妥:PL1-11
BY02DX020,超温报警反馈:PL1-11
BY02DX021,启动控制反馈:PL1-12
BY02DX022,负载运行状态:PL1-12
BY02DX023,可控硅故障:PL1-12
BY02DX024,上电备妥:PL1-12
BY02DX025,超温报警反馈:PL1-12
BY02DX026,启动控制反馈:PL1-13
BY02DX027,负载运行状态:PL1-13
BY02DX028,可控硅故障:PL1-13
BY02DX029,上电备妥:PL1-13
BY02DX030,超温报警反馈:PL1-13
BY02DX031,启动控制反馈:PL1-14
BY02DX032,负载运行状态:PL1-14
BY02DX033,可控硅故障:PL1-14
BY02DX034,上电备妥:PL1-14
BY02DX035,超温报警反馈:PL1-14
BY02DX036,启动控制反馈:PL1-15
BY02DX037,负载运行状态:PL1-15
BY02DX038,可控硅故障:PL1-15
BY02DX039,上电备妥:PL1-15
BY02DX040,超温报警反馈:PL1-15
BY02DX041,启动控制反馈:PL1-16
BY02DX042,负载运行状态:PL1-16
BY02DX043,可控硅故障:PL1-16
BY02DX044,上电备妥:PL1-16
BY02DX045,超温报警反馈:PL1-16
BY02DX046,启动控制反馈:PL1-17
BY02DX047,负载运行状态:PL1-17
BY02DX048,可控硅故障:PL1-17
BY02DX049,上电备妥:PL1-17
BY02DX050,超温报警反馈:PL1-17
BY02DX051,启动控制反馈:PL1-18
BY02DX052,负载运行状态:PL1-18
BY02DX053,可控硅故障:PL1-18
BY02DX054,上电备妥:PL1-18
BY02DX055,超温报警反馈:PL1-18
BY02DX056,启动控制反馈:PL1-19
BY02DX057,负载运行状态:PL1-19
BY02DX058,可控硅故障:PL1-19
BY02DX059,上电备妥:PL1-19
BY02DX060,超温报警反馈:PL1-19
BY02DX061,启动控制反馈:PL1-20
BY02DX062,负载运行状态:PL1-20
BY02DX063,可控硅故障:PL1-20
BY02DX064,上电备妥:PL1-20
BY02DX065,超温报警反馈:PL1-20
BY02DX066,启动控制反馈:PL1-21
BY02DX067,负载运行状态:PL1-21
BY02DX068,可控硅故障:PL1-21
BY02DX069,上电备妥:PL1-21
BY02DX070,超温报警反馈:PL1-21
BY02DX071,启动控制反馈:PL1-22
BY02DX072,负载运行状态:PL1-22
BY02DX073,可控硅故障:PL1-22
BY02DX074,上电备妥:PL1-22
BY02DX075,超温报警反馈:PL1-22
BY02DX076,启动控制反馈:PL1-23
BY02DX077,负载运行状态:PL1-23
BY02DX078,可控硅故障:PL1-23
BY02DX079,上电备妥:PL1-23
BY02DX080,超温报警反馈:PL1-23
BY02DX081,启动控制反馈:PL1-24
BY02DX082,负载运行状态:PL1-24
BY02DX083,可控硅故障:PL1-24
BY02DX084,上电备妥:PL1-24
BY02DX085,超温报警反馈:PL1-24
BY02DX086,启动控制反馈:PL1-25
BY02DX087,负载运行状态:PL1-25
BY02DX088,可控硅故障:PL1-25
BY02DX089,上电备妥:PL1-25
BY02DX090,超温报警反馈:PL1-25
BY02DX091,启动控制反馈:一回路储罐电伴热01
BY02DX092,负载运行状态:一回路储罐电伴热01
BY02DX093,可控硅故障:一回路储罐电伴热01
BY02DX094,上电备妥:一回路储罐电伴热01
BY02DX095,超温报警反馈:一回路储罐电伴热01
BY02DX096,启动控制反馈:一回路储罐电伴热02
BY02DX097,负载运行状态:一回路储罐电伴热02
BY02DX098,可控硅故障:一回路储罐电伴热02
BY02DX099,上电备妥:一回路储罐电伴热02
BY02DX100,超温报警反馈:一回路储罐电伴热02
BY02DX101,启动控制反馈:一回路储罐电伴热03
BY02DX102,负载运行状态:一回路储罐电伴热03
BY02DX103,可控硅故障:一回路储罐电伴热03
BY02DX104,上电备妥:一回路储罐电伴热03
BY02DX105,超温报警反馈:一回路储罐电伴热03
BY02DX106,启动控制反馈:一回路泵罐电伴热01
BY02DX107,负载运行状态:一回路泵罐电伴热01
BY02DX108,可控硅故障:一回路泵罐电伴热01
BY02DX109,上电备妥:一回路泵罐电伴热01
BY02DX110,超温报警反馈:一回路泵罐电伴热01
BY02DX111,启动控制反馈:一回路泵罐电伴热02
BY02DX112,负载运行状态:一回路泵罐电伴热02
BY02DX113,可控硅故障:一回路泵罐电伴热02
BY02DX114,上电备妥:一回路泵罐电伴热02
BY02DX115,超温报警反馈:一回路泵罐电伴热02
BY02DX116,启动控制反馈:一回路泵罐电伴热03
BY02DX117,负载运行状态:一回路泵罐电伴热03
BY02DX118,可控硅故障:一回路泵罐电伴热03
BY02DX119,上电备妥:一回路泵罐电伴热03
BY02DX120,超温报警反馈:一回路泵罐电伴热03
BY02DX121,二号柜XCU状态
BY02DX122,二号柜XCU-A状态
BY02DX123,二号柜XCU-B状态
BY02DX124,二号柜NET状态
BY02DX125,备用
BY02DX126,备用
BY02DX127,备用
BY02DX128,备用
BY02DX129,备用
BY02DX130,备用
BY02DX131,备用
BY02DX132,备用
BY02DX133,备用
BY02DX134,备用
BY02DX135,备用
BY02DX136,备用
BY02DX137,备用
BY02DX138,备用
BY02DX139,备用
BY02DX140,备用
BY02DX141,备用
BY02DX142,备用
BY02DX143,备用
BY02DX144,备用
BY02DX145,备用
BY02DX146,备用
BY02DX147,备用
BY02DX148,备用
BY02DX149,备用
BY02DX150,备用
BY02DX151,备用
BY02DX152,备用
BY02DX153,备用
BY02DX154,备用
BY02DX155,备用
BY02DX156,备用
BY02DX157,备用
BY02DX158,备用
BY02DX159,备用
BY02DX160,备用
BY02DX161,备用
BY02DX162,备用
BY02DX163,备用
BY02DX164,备用
BY02DX165,备用
BY02DX166,备用
BY02DX167,备用
BY02DX168,备用
BY02DX169,备用
BY02DX170,备用
BY02DX171,备用
BY02DX172,备用
BY02DX173,备用
BY02DX174,备用
BY02DX175,备用
BY02DX176,备用
BY02DX177,备用
BY02DX178,备用
BY02DX179,备用
BY02DX180,备用
BY02DX181,备用
BY02DX182,备用
BY02DX183,备用
BY02DX184,备用
BY02DX185,备用
BY02DX186,备用
BY02DX187,备用
BY02DX188,备用
BY02DX189,备用
BY02DX190,备用
BY02DX191,备用
BY02DX192,备用
BY02DX193,备用
BY02DX194,备用
BY02DX195,备用
BY02DX196,备用
BY02DX197,备用
BY02DX198,备用
BY02DX199,备用
BY02DX200,备用
BY02DX201,备用
BY02DX202,备用
BY02DX203,备用
BY02DX204,备用
BY02DX205,备用
BY02DX206,备用
BY02DX207,备用
BY02DX208,备用
BY02DX209,备用
BY02DX210,备用
BY02DX211,备用
BY02DX212,备用
BY02DX213,备用
BY02DX214,备用
BY02DX215,备用
BY02DX216,备用
BY02DX217,备用
BY02DX218,备用
BY02DX219,备用
BY02DX220,备用
BY02DX221,备用
BY02DX222,备用
BY02DX223,备用
BY02DX224,备用
BY02DX225,备用
BY02DX226,备用
BY02DX227,备用
BY02DX228,备用
BY02DX229,备用
BY02DX230,备用
BY02DX231,备用
BY02DX232,备用
BY02DX233,备用
BY02DX234,备用
BY02DX235,备用
BY02DX236,备用
BY02DX237,备用
BY02DX238,备用
BY02DX239,备用
BY02DX240,备用
BY02DX241,备用
BY02DX242,备用
BY02DX243,备用
BY02DX244,备用
BY02DX245,备用
BY02DX246,备用
BY02DX247,备用
BY02DX248,备用
BY02DX249,备用
BY02DX250,备用
BY02DX251,备用
BY02DX252,备用
BY02DX253,备用
BY02DX254,备用
BY02DX255,备用
BY02DX256,备用
BY02DX257,备用
BY02DX258,备用
BY02DX259,备用
BY02DX260,备用
BY02DX261,备用
BY02DX262,备用
BY02DX263,备用
BY02DX264,备用
BY02DX265,备用
BY02DX266,备用
BY02DX267,备用
BY02DX268,备用
BY02DX269,备用
BY02DX270,备用
BY02DX271,备用
BY02DX272,备用
BY02DX273,备用
BY02DX274,备用
BY02DX275,备用
BY02DX276,备用
BY02DX277,备用
BY02DX278,备用
BY02DX279,备用
BY02DX280,备用
BY02DX281,备用
BY02DX282,备用
BY02DX283,备用
BY02DX284,备用
BY02DX285,备用
BY02DX286,备用
BY02DX287,备用
BY02DX288,备用
BY02DX289,备用
BY02DX290,备用
BY02DX291,备用
BY02DX292,备用
BY02DX293,备用
BY02DX294,备用
BY02DX295,备用
BY02DX296,备用
BY02DX297,备用
BY02DX298,备用
BY02DX299,备用
BY02DX300,备用
BY03DX001,启动控制反馈:PM2-1
BY03DX002,负载运行状态:PM2-1
BY03DX003,可控硅故障:PM2-1
BY03DX004,上电备妥:PM2-1
BY03DX005,超温报警反馈:PM2-1
BY03DX006,启动控制反馈:PM2-2
BY03DX007,负载运行状态:PM2-2
BY03DX008,可控硅故障:PM2-2
BY03DX009,上电备妥:PM2-2
BY03DX010,超温报警反馈:PM2-2
BY03DX011,启动控制反馈:PM2-3
BY03DX012,负载运行状态:PM2-3
BY03DX013,可控硅故障:PM2-3
BY03DX014,上电备妥:PM2-3
BY03DX015,超温报警反馈:PM2-3
BY03DX016,启动控制反馈:PM2-4
BY03DX017,负载运行状态:PM2-4
BY03DX018,可控硅故障:PM2-4
BY03DX019,上电备妥:PM2-4
BY03DX020,超温报警反馈:PM2-4
BY03DX021,启动控制反馈:PM2-5
BY03DX022,负载运行状态:PM2-5
BY03DX023,可控硅故障:PM2-5
BY03DX024,上电备妥:PM2-5
BY03DX025,超温报警反馈:PM2-5
BY03DX026,启动控制反馈:PM2-6
BY03DX027,负载运行状态:PM2-6
BY03DX028,可控硅故障:PM2-6
BY03DX029,上电备妥:PM2-6
BY03DX030,超温报警反馈:PM2-6
BY03DX031,启动控制反馈:PM2-7
BY03DX032,负载运行状态:PM2-7
BY03DX033,可控硅故障:PM2-7
BY03DX034,上电备妥:PM2-7
BY03DX035,超温报警反馈:PM2-7
BY03DX036,启动控制反馈:PM2-8
BY03DX037,负载运行状态:PM2-8
BY03DX038,可控硅故障:PM2-8
BY03DX039,上电备妥:PM2-8
BY03DX040,超温报警反馈:PM2-8
BY03DX041,启动控制反馈:PM2-9
BY03DX042,负载运行状态:PM2-9
BY03DX043,可控硅故障:PM2-9
BY03DX044,上电备妥:PM2-9
BY03DX045,超温报警反馈:PM2-9
BY03DX046,启动控制反馈:PM2-10
BY03DX047,负载运行状态:PM2-10
BY03DX048,可控硅故障:PM2-10
BY03DX049,上电备妥:PM2-10
BY03DX050,超温报警反馈:PM2-10
BY03DX051,启动控制反馈:PM2-11
BY03DX052,负载运行状态:PM2-11
BY03DX053,可控硅故障:PM2-11
BY03DX054,上电备妥:PM2-11
BY03DX055,超温报警反馈:PM2-11
BY03DX056,启动控制反馈:PM2-12
BY03DX057,负载运行状态:PM2-12
BY03DX058,可控硅故障:PM2-12
BY03DX059,上电备妥:PM2-12
BY03DX060,超温报警反馈:PM2-12
BY03DX061,启动控制反馈:PM2-13
BY03DX062,负载运行状态:PM2-13
BY03DX063,可控硅故障:PM2-13
BY03DX064,上电备妥:PM2-13
BY03DX065,超温报警反馈:PM2-13
BY03DX066,启动控制反馈:PM2-14
BY03DX067,负载运行状态:PM2-14
BY03DX068,可控硅故障:PM2-14
BY03DX069,上电备妥:PM2-14
BY03DX070,超温报警反馈:PM2-14
