PointName,PointDesp
BY06DY030,熔盐空气换热器全路风机故障复位
BY06DY031,熔盐空气换热器次路风机运行控制
BY06DY032,熔盐空气换热器次路风机故障复位
BY06DY033,熔盐空气换热器次路风机运行控制
BY06DY034,熔盐空气换热器次路风机故障复位
BY06DY035,一回路泵电机风扇启动
BY06DY036,一回路泵电机风扇停止
BY06DY037,二回路泵电机风扇启动
BY06DY038,二回路泵电机风扇停止
BY06DY039,冷冻阀1冷冻风机电源启动
BY06DY040,冷冻阀1冷却风机电源停止
BY06DY041,冷冻阀2冷冻风机电源启动
BY06DY042,冷冻阀2冷却风机电源停止
BY06DY043,冷冻阀3冷冻风机电源启动
BY06DY044,冷冻阀3冷却风机电源停止
BY06DY045,冷冻阀4冷冻风机电源启动
BY06DY046,冷冻阀4冷却风机电源停止
BY06DY047,电动调节阀3停止
BY06DY048,电动调节阀4停止
BY06DY049,一回路泵振动连锁旁通
BY06DY050,一回路泵变频器电流连锁旁通
BY06DY051,一回路熔盐泵泵轴吹扫气流量连锁旁通
BY06DY052,一回路熔盐泵轴温度连锁旁通
BY06DY053,一回路熔盐泵干气密封气压力连锁旁通
BY06DY054,一回路熔盐泵油冷机流量连锁旁通
BY06DY055,一回路熔盐泵泵罐压力连锁旁通
BY06DY056,一回路熔盐泵泵罐熔盐液位连锁旁通
BY06DY057,一回路熔盐泵屏蔽塞吹扫气连锁旁通
BY06DY058,二回路泵振动连锁旁通
BY06DY059,二回路泵变频器电流连锁旁通
BY06DY060,二回路熔盐泵泵轴吹扫气流量连锁旁通
BY06DY061,二回路熔盐泵轴温度连锁旁通
BY06DY062,二回路熔盐泵干气密封气压力连锁旁通
BY06DY063,二回路熔盐泵油冷机流量连锁旁通
BY06DY064,二回路熔盐泵泵罐压力连锁旁通
BY06DY065,二回路熔盐泵泵罐熔盐液位连锁旁通
BY06DY066,二回路熔盐泵屏蔽塞吹扫气连锁旁通
BY06DY067,一回路泵M/N切换
BY06DY068,二回路泵M/N切换
BY10DY001,加热棒1-1 超温连锁复位
BY10DY002,加热棒2-1 超温连锁复位
BY10DY003,加热棒2-2 超温连锁复位
